2022/03/26,浅野博之,IEEE名古屋支部,2022年IEEE名古屋支部国際会議研究発表賞
2022/3/4,鄭錦星,KDDI×Leafony 応用コンテスト(トリリオンノード研究会),奨励賞
2021/03/04,イチャンソク,電子情報通信学会東海支部卒業研究発表会,優秀卒業研究発表賞
2022/02/22,小鹿文也,電気電子・情報工学科合同卒業研究発表会(片山研，武田研，長谷川研，藤井研，山里研),第3位
2022/02/22,イチャンソク,電気電子・情報工学科合同卒業研究発表会(片山研，武田研，長谷川研，藤井研，山里研),第1位
2022/02/22,石川大希,電気電子・情報工学科合同卒業研究発表会(片山研，武田研，長谷川研，藤井研，山里研),第2位
2022/02/10,山田憲蔵,東海3大学通信系研究室合同修論発表会,優秀発表賞
2021/12/01,春日部大雅,令和3年度修士論文中間発表会,修士論文中間発表優秀賞
2021/11/05,安藤仁志,ICMaSS2021,Outstanding Presentation Award
2021/6/25,春日部大雅,電子情報通信学会 無線通信システム研究会,初めての研究会 優秀発表賞
2021/06/04,浅野博之,電子情報通信学会東海支部,令和2年度学生研究奨励賞
2021/03/05,浅野博之,電子情報通信学会東海支部,最優秀卒業研究発表賞
2021/03/05,春日部大雅,電子情報通信学会東海支部,優秀卒業研究発表賞
2021/03/02,春日部大雅,電気電子・情報工学科合同卒業研究発表会(武田研，藤井研，片山研，長谷川研),最優秀賞s
2020/3/2,棚橋亮太,電気電子・情報工学科合同卒業研究発表会(武田研，藤井研，片山研，長谷川研),第5位
2021/3/2,浅野博之,電気電子・情報工学科合同卒業研究発表会(武田研，藤井研，片山研，長谷川研),第4位
2021/3/2,服部将道,電気電子・情報工学科合同卒業研究発表会(武田研，藤井研，片山研，長谷川研),第3位
2021/2/10,桶間椋,東海3大学通信系研究室合同修論発表会,優秀発表賞
2021/2/10,渡邊壮輝,東海3大学通信系研究室合同修論発表会,優秀発表賞
2020/12/4,山本拓也,IEICE ICETC2020,Student Presentation Award
2020/06/04,山里敬也，中島康雄，平岡真太郎，他3名,電子情報通信学会,第76回（令和元年度）論文賞
2020/04/04,有末知矢,IEEE名古屋支部,2020年IEEE名古屋支部国際会議研究発表賞
2020/03/25,中島康雄,IEEE Nagoya Section,Excellent student Award
2020/02/08,有末知矢,東海3大学通信系研究室合同修論発表会,優秀発表賞
2020/01/12,有末知矢,IEEE Consumer Communications & Networking Conference 2020,Best Paper Award
2019/11/3,伊藤宗人,ICMaSS2019,Outstanding Presentation Awards
2019/9/11,岡田啓,電子情報通信学会,通信ソサイエティ活動功労賞
2019/9/11,岡田啓,電子情報通信学会,通信ソサイエティ功労顕彰状
2019/06/11,伊藤宗人,電子情報通信学会東海支部,平成30年度学生研究奨励賞
2019/06/11,矢内宏樹,電子情報通信学会東海支部,平成30年度学生研究奨励賞
2019/06/01,片山正昭,東海総合通信局,「電波の日」東海総合通信局長表彰
2019/03/25,木下雅之,IEEE名古屋支部,2019年国際会議研究発表賞
2019/02/27,鈴木丈,平成30年度電気電子・情報工学科合同卒業研究発表会(佐藤(健)研，武田研，藤井研，片山研),優秀賞
2019/01/27,亀川智史,2018年度東海地区３大学合同修論発表会,優秀発表賞
2018/12/22,小林健太郎,IEEE名古屋支部,若手奨励賞
2018/09/12,小林健太郎,電子情報通信学会,通信ソサイエティ活動功労賞
2018/09/12,岡田啓,電子情報通信学会,通信ソサイエティ活動功労賞
2018/08/28,矢内宏樹,IEEE VTS Tokyo Chapter，VTC2018-Fall,IEEE VTS Tokyo Chapter 2018 Young Researcher’s Encouragement Award
2018/07/04,木下雅之,電子情報通信学会,2017年度WBS小特集号学生奨励賞
2018/03/22,木下雅之,電子情報通信学会,学術奨励賞
2018/03/02,佐々木泰斗,電子情報通信学会東海支部,優秀卒業研究発表賞
2018/02/27,矢内宏樹,平成29年度電気電子・情報工学科合同卒業研究発表会(佐藤(健)研，武田研，藤井研，片山研),優秀賞
